Country of Registration,Event,Event Start Date,Event End Date,Name of vessel,Vessel Type,Main fishing gear,Subsidiary fishing gear 1,LOA,Tonnage GT,Power of main engine,MMSIstr
ITA,MOD,2018-12-07,2023-06-14,NUOVO TRIO,FX,OTB,PTM,16.1,55.0,257.4,247053680
ITA,MOD,2023-06-15,2100-12-31,NUOVO TRIO,FX,OTB,PTM,16.1,55.0,257.4,247053680
ITA,MOD,2020-08-25,2021-04-27,STELLA,FX,OTB,GNS,11.26,8.0,61.39,247077390
ITA,MOD,2021-04-28,2100-12-31,AUGUSTO I,FX,OTB,GNS,11.26,8.0,61.39,247077390
ITA,MOD,2016-09-26,2025-03-09,NONNA ELISA,FX,OTB,PTM,20.17,96.0,316.0,247074420
ITA,MOD,2025-03-10,2100-12-31,NONNA ELISA,FX,OTB,PTM,20.17,96.0,316.0,247074420
ITA,MOD,2020-08-25,2021-04-14,GIUSEPPE E MARIA,FX,OTB,LLS,14.42,25.0,134.58,247123210
ITA,MOD,2021-04-15,2024-09-05,GIUSEPPE E MARIA,FX,OTB,LLS,14.42,25.0,134.58,247123210
ITA,MOD,2024-09-06,2100-12-31,GIUSEPPE E MARIA,FX,OTB,LLS,14.42,25.0,134.58,247123210
ITA,MOD,2020-08-25,2100-12-31,FRANCESCA MADRE,FX,OTB,LLS,14.77,29.0,176.4,247122730
ITA,MOD,2012-05-31,2013-10-03,FARO,FX,OTB,NO,25.25,137.0,217.0,247302670
ITA,MOD,2013-10-04,2015-03-16,FARO,FX,OTB,NO,25.25,137.0,319.0,247302670
ITA,MOD,2015-03-17,2015-12-31,FARO,FX,OTB,NO,25.25,137.0,319.0,247302670
ITA,MOD,2016-01-01,2100-12-31,FARO,FX,OTB,NO,25.25,137.0,319.0,247302670
ITA,MOD,2024-03-15,2024-12-09,ANTONINO MARIA,FX,OTB,NO,24.52,161.0,295.0,247142920
ITA,MOD,2024-12-10,2100-12-31,NICOLA ARENA,FX,OTB,NO,24.52,161.0,295.0,247142920
ITA,MOD,2019-02-08,2025-02-19,AURORA,FX,OTB,GNS,16.4,24.0,121.3,247079050
ITA,MOD,2025-02-20,2100-12-31,AURORA,FX,OTB,GNS,16.4,24.0,180.3,247079050
ITA,MOD,2021-08-18,2100-12-31,DRAGON BOLL,FX,OTB,NO,16.69,42.0,189.0,247051220
ITA,MOD,2021-04-06,2100-12-31,SATURNO,FX,OTB,TBB,13.67,16.0,176.0,247073320
ITA,MOD,2021-04-12,2100-12-31,SHARK 3,FX,OTB,GNS,14.31,19.0,150.0,247304750
ITA,MOD,2021-05-02,2100-12-31,GIULIA MADRE,FX,OTB,GNS,14.15,24.0,125.0,247122010
ITA,MOD,2020-08-26,2100-12-31,LUNA ROSSA I,FX,OTB,NO,19.8,51.0,220.6,247067010
ITA,MOD,2020-12-18,2100-12-31,BARBARIGO,FX,OTB,NO,20.63,66.0,195.0,247140260
ITA,MOD,2021-06-29,2024-07-08,IL SALVATORE,FX,OTB,LLS,29.35,167.0,529.41,247152080
ITA,MOD,2024-07-09,2100-12-31,IL SALVATORE,FX,OTB,LLS,29.35,167.0,529.41,247152080
ITA,MOD,2013-05-31,2100-12-31,LAURA MARINA,FX,OTB,NO,21.6,40.0,198.5,247121270
ITA,MOD,2021-03-31,2100-12-31,AMALTEA,FX,OTB,NO,22.86,155.0,371.32,247144110
ITA,MOD,2022-04-14,2100-12-31,MICHELE E VINCENZA,FX,OTB,PS,14.65,15.0,144.0,247147990
ITA,MOD,2021-05-12,2100-12-31,BRYAN & SALVATORE,FX,OTB,PS,19.08,50.0,176.0,247148370
ITA,MOD,2021-01-04,2100-12-31,CLOTILDE,FX,OTB,NO,23.02,59.0,294.1,247092950
ITA,MOD,2020-11-27,2021-02-04,STELLA PILA 2,FX,OTB,PTM,17.4,28.0,161.6,247054080
ITA,MOD,2021-02-05,2021-02-15,STELLA PILA 2,FX,OTB,PTM,17.4,28.0,161.6,247054080
ITA,MOD,2021-02-16,2021-03-22,STELLA PILA 2,FX,OTB,PTM,17.4,28.0,294.0,247054080
ITA,MOD,2021-03-23,2022-02-15,VEGA,FX,OTB,PTM,17.4,28.0,294.0,247054080
ITA,MOD,2022-02-16,2024-01-21,VEGA,FX,OTB,PTM,17.4,28.0,294.0,247054080
ITA,MOD,2024-01-22,2100-12-31,VEGA,FX,OTB,PTM,17.4,28.0,294.0,247054080
ITA,MOD,2021-04-12,2100-12-31,TRIONFO,FX,OTB,LLS,14.38,25.0,104.5,247084940
ITA,MOD,2013-05-31,2014-06-15,ANTONIO PADRE,FX,OTB,NO,18.71,42.0,220.0,247100330
ITA,MOD,2014-06-16,2014-08-04,ANTONIO PADRE,FX,OTB,NO,18.71,42.0,220.0,247100330
ITA,MOD,2014-08-05,2014-11-10,ANTONIO PADRE,FX,OTB,NO,18.71,42.0,220.0,247100330
ITA,MOD,2014-11-11,2016-10-23,ANTONIO PADRE,FX,OTB,NO,18.71,42.0,220.0,247100330
ITA,MOD,2016-10-24,2021-04-07,ANTONIO PADRE,FX,OTB,NO,18.71,42.0,220.0,247100330
ITA,MOD,2021-04-08,2100-12-31,ANTONIO PADRE,FX,OTB,NO,18.71,42.0,220.0,247100330
ITA,MOD,2020-08-25,2100-12-31,TIBON,FX,OTB,LLS,14.1,14.0,162.0,247094820
ITA,MOD,2023-03-10,2100-12-31,LUNA ROSSA,FX,OTB,NO,14.48,26.0,109.5,247124170
ITA,MOD,2020-11-27,2100-12-31,GHIBLI,FX,OTB,LLS,23.17,79.0,441.6,247150170
ITA,MOD,2020-08-25,2020-10-06,LUIGINA II,FX,OTB,LLS,14.95,15.0,103.0,247129140
ITA,MOD,2020-10-07,2021-04-13,LUIGINA II,FX,OTB,LLS,14.95,15.0,189.0,247129140
ITA,MOD,2021-04-14,2100-12-31,LUIGINA II,FX,OTB,LLS,14.95,15.0,189.0,247129140
ITA,MOD,2021-04-15,2022-12-20,ENZO PROESSO,FX,OTB,GNS,14.98,16.0,132.0,247126470
ITA,MOD,2022-12-21,2100-12-31,ENZO PROESSO',FX,OTB,GNS,14.98,16.0,132.0,247126470
ITA,MOD,2020-11-27,2100-12-31,NUOVO GIACOMO I,FX,OTB,NO,23.23,150.0,338.56,247144430
